"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"73","지하수시공업체","09_29_01_P","4221000","C001448110017045L00","2025-01-16","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 황지동 26-3","강원특별자치도 태백시 태백로 976-1 (황지동)","26013","(주)엘테크","2025-01-20 09:49:26","U","2025-01-22 02:40:00","","377034.226910135","409482.984466809","8","100000000","건설기계임대차 표준계약서		
2025.01.02~2026.12.31		
천공기(경기22고5307)		
YSB-0087","0",
"74","지하수시공업체","09_29_01_P","4231000","C001413110003633L00","1999-12-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 금호동 625-12","강원특별자치도 속초시 번영로67번길 32 (금호동)","","영동산업개발㈜","2012-11-29 09:21:08","I","2023-06-13 00:00:00","","338481.271527032","523915.298335716","2","100000000","","0",
"75","지하수시공업체","09_29_01_P","4231000","C001445110001416L00","1999-03-24","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 조양동 533-1","강원특별자치도 속초시 청대로 250-7 (조양동)","24878","현대지하수개발(주)","2017-01-03 13:03:13","I","2023-06-13 00:00:00","","337863.594012789","521904.617834266","3","310000000","","0",
"76","지하수시공업체","09_29_01_P","4231000","C002270792254000000","2002-04-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 교동 827","강원특별자치도 속초시 동해대로 4250 (교동)","","동방기초개발","2023-01-25 09:09:43","I","2023-06-13 00:00:00","","337991.233884112","522832.202190519","2","32000000","","0",
"77","지하수시공업체","09_29_01_P","4231000","C001413110005978L00","2001-07-14","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 조양동","","","흥림산업㈜","2007-02-23 15:19:17","I","2023-06-13 00:00:00","","","","2","100000000","1. 착정기 1
2. 공기압축기 1","0",
"78","지하수시공업체","09_29_01_P","4231000","C001411110010228L00","2011-03-18","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 조양동 533-1","강원특별자치도 속초시 청대로 250-7 (조양동)","24878","(주)성보건설","2020-09-16 13:14:47","I","2023-06-13 00:00:00","","337863.594012789","521904.617834266","2","1119000060","","0",
"79","지하수시공업체","09_29_01_P","4231000","C001413110017288L00","2015-09-21","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 조양동 1531-13","강원특별자치도 속초시 선사로2길 7-11 (조양동)","24891","대성산업개발(주)","2022-02-15 09:20:08","I","2023-06-13 00:00:00","","339509.785474466","521792.483454412","2","81000000","미니티포 한진 파워5000
궤도형 1대","0",
"80","지하수시공업체","09_29_01_P","4241000","C001446110030489L00","2023-09-05","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 삼척시 근덕면 광태리 190","강원특별자치도 삼척시 근덕면 삼척로 3386-5","25936","(주)광태","2023-09-05 16:45:31","I","2023-09-07 00:18:12","","397688.085392985","430806.063694996","2","150000000","천공기 강원22고5174(KI-2004)","0",
"81","지하수시공업체","09_29_01_P","4241000","C001449110001723L00","2009-11-21","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 삼척시 교동 750-1","강원특별자치도 삼척시 우지2길 26-22(우지동)","","(주)신원","2025-10-28 15:55:48","I","2025-10-30 00:20:11","","392013.2970226","440788.210003176","2","700000000","","0",
"82","지하수시공업체","09_29_01_P","4241000","C001545110006787L00","2021-09-16","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 삼척시 새천년도로 169, 해뜨는집 3층 (정하동)","25925","(주)신성건설","2024-02-21 14:58:41","I","2024-02-23 00:15:48","","393669.278547715","440368.99493728","0","0","","0",
"83","지하수시공업체","09_29_01_P","4241000","C001446130000818L00","2025-05-29","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 삼척시 교동 206-1 한성산업","강원특별자치도 삼척시 하실길 42, 한성산업 (교동)","25911","(자)한성산업","2025-05-29 10:42:09","I","2025-05-31 00:20:02","","391979.047193614","441049.659405649","3","200000000","타설기계(수동) 32m/m~50m/m","0",
"84","지하수시공업체","09_29_01_P","4241000","C001446110025034L00","2025-03-24","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 삼척시 남양동 14-5 대원상사 3층","강원특별자치도 삼척시 중앙로 250-1, 대원상사 (남양동)","","지오이엔씨 주식회사","2025-07-11 15:47:48","U","2025-07-13 02:40:00","","391817.109021694","440366.186528159","2","150000000","천공기 SP4500","0",
"85","지하수시공업체","09_29_01_P","4241000","C001446110003634L00","2023-10-23","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 삼척시 사직동 367","강원특별자치도 삼척시 중앙로1길 134 (사직동)","25930","㈜세일","2023-10-23 11:16:32","I","2023-10-25 00:17:39","","391943.184358092","438461.361198672","8","600000000","","0",
"86","지하수시공업체","09_29_01_P","4251000","C002230248504000000","2002-05-17","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 홍천군 홍천읍 갈마곡리 458-9","강원특별자치도 홍천군 홍천읍 산림공원1길 7","","한일펌프지하수","2024-02-19 16:03:51","I","2024-02-21 00:16:02","","278930.438306697","465896.090914422","2","32300000","","0",
"87","지하수시공업체","09_29_01_P","4251000","C00610306000","2016-10-17","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 홍천군 홍천읍 연봉리 488-10","강원특별자치도 홍천군 홍천읍 연봉로9길 39","25147","남산지하수","2025-02-25 17:04:07","I","2025-02-27 00:10:36","","277678.762299856","464906.270306277","2","30500000","천공기(OSJ-52001)","0",
"88","지하수시공업체","09_29_01_P","4261000","C001451110004623L00","2018-05-23","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 추동리 17-22","강원특별자치도 횡성군 횡성읍 한우로 805","","㈜청수지하수","2018-05-23 14:05:35","I","2023-06-13 00:00:00","","291757.816930795","443883.029192196","2","55000000","","0",
"89","지하수시공업체","09_29_01_P","4261000","C002248121537000000","2001-04-25","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 개전리 95-4","","","초원개발","2006-10-24 17:05:00","I","2023-06-13 00:00:00","","290101.309441223","444719.744842841","2","45000000","1. 착정기 1
2. 공기압축기 1","0",
"90","지하수시공업체","09_29_01_P","4261000","C004905161267911000","2011-02-07","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 읍상리 225 4통7반","","","조만진","2011-02-07 10:18:09","I","2023-06-13 00:00:00","","","","2","0","","0",
"91","지하수시공업체","09_29_01_P","4261000","C001412110013680L00","1999-07-01","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 읍상리 336-1","강원특별자치도 횡성군 횡성읍 태기로 52","","한국지오엔지니어링㈜","2011-10-30 13:22:04","I","2023-06-13 00:00:00","","287423.725247245","443650.35970007","4","277000000","1. 천공기 1","0",
"92","지하수시공업체","09_29_01_P","4261000","C002240165815000000","1998-05-01","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 우천면 백달리 335-1","강원특별자치도 횡성군 우천면 서동로 119","","제일지하수","2013-01-15 14:28:42","I","2023-06-13 00:00:00","","294384.847591668","438538.640521019","2","56000000","","0",
"93","지하수시공업체","09_29_01_P","4261000","C002240564508000000","2006-09-25","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 입석리 173-1","강원특별자치도 횡성군 횡성읍 입석로14번길 19","25240","성신펌프테크","2019-01-03 13:58:31","I","2023-06-13 00:00:00","","286871.185398517","442338.274245862","2","30060000","","0",
"94","지하수시공업체","09_29_01_P","4261000","C006005301324324000","2016-04-01","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 둔내면 둔방내리 218-6","강원특별자치도 횡성군 둔내면 경강로둔방11길 26-11","","금강지하수개발","2017-01-23 09:07:47","I","2023-06-13 00:00:00","","306992.103702279","446979.053913963","2","60260000","1. 시추기 3
2. 공기압축기 1","0",
"95","지하수시공업체","09_29_01_P","4261000","C006612241268611000","2016-08-17","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 횡성군 횡성읍 횡성로 43","","금강엔지니어링-함영수","2016-08-17 10:10:22","I","2023-06-13 00:00:00","","286274.006213695","440092.746523783","2","81950000","천공기-강원22고5099(함영수)","0",
"96","지하수시공업체","09_29_01_P","4261000","C001451110013137L00","2017-12-06","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 읍상리 328-5","강원특별자치도 횡성군 횡성읍 태기로 55","","프라임건설(주)","2024-03-25 13:58:16","U","2024-03-27 02:40:00","","287454.758305443","443678.78534784","2","253000000","","0",
"97","지하수시공업체","09_29_01_P","4261000","C001311110231389L00","2010-01-26","","01","영업/정상","1","영업","","","","","","","","경기도 이천시 신둔면 수광리 386-6","강원특별자치도 횡성군 횡성읍 문정로 9-1, 1층","25233","(주)청정씨앤씨","2022-05-26 06:51:58","I","2023-06-13 00:00:00","","235504.820175884","423280.193961724","2","120000000","","0",
"98","지하수시공업체","09_29_01_P","4261000","C001101114026997L00","2018-10-01","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 읍하리 415-1","강원특별자치도 횡성군 횡성읍 앞들서로 1, 2층 1호","","(주)대성종합엔지니어링","2018-12-05 13:53:27","I","2023-06-13 00:00:00","","287030.051802142","443279.872114574","2","50000000","-착정장비(천공기) 1대
 등록번호 : 서울22-2340
 형       식 : UKP500
 규       격 : 90mm","0",
"99","지하수시공업체","09_29_01_P","4261000","C002240237150000000","1998-04-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 횡성군 횡성읍 추동리 28-16","강원특별자치도 횡성군 횡성읍 한우로 826","25213","횡성지하수개발","2020-06-14 22:30:12","I","2023-06-13 00:00:00","","291809.77187329","443709.6935268","2","50000000","1. 시추기 3","0",
"100","지하수시공업체","09_29_01_P","4271000","C001414110004639L00","2023-07-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 961-9","강원특별자치도 영월군 영월읍 단종로34번길 24, 2층","26227","주식회사 정한기업","2023-07-13 13:11:43","I","2023-07-15 00:19:09","","330276.863649065","410422.1291015","9","680000000","천공기 BCD-06
규격 180Kg 16㎥/min
차대일련번호 BCD-06-19A1","0",
"101","지하수시공업체","09_29_01_P","4271000","C001414110001784L00","1999-10-20","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 960-8","강원특별자치도 영월군 영월읍 단종로 29","","동명건설㈜","2006-02-09 11:17:41","I","2023-06-13 00:00:00","","330212.054479396","410336.565913347","0","0","","0",
"102","지하수시공업체","09_29_01_P","4271000","C007311191328113000","2006-06-16","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 방절리 76-8","강원특별자치도 영월군 영월읍 잔다리길 79-14","26226","오성지하수","2023-02-24 08:50:29","I","2023-06-13 00:00:00","","328763.210609397","410728.808177037","2","32055000","시추기 2 대
차량","0",
"103","지하수시공업체","09_29_01_P","4271000","C001414110000178L00","2006-02-09","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 남면 연당리 1033-1","강원특별자치도 영월군 남면 연당로 55-4","","동명건설","2006-06-21 09:26:27","I","2023-06-13 00:00:00","","324768.986809756","410300.967045068","0","0","","0",
"104","지하수시공업체","09_29_01_P","4271000","C002258111667000000","1999-10-20","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 901-1","강원특별자치도 영월군 영월읍 금강공원길  40","","동명건설(주)","2015-10-29 15:08:45","I","2023-06-13 00:00:00","","330861.456476152","410102.898870111","0","0","","0",
"105","지하수시공업체","09_29_01_P","4271000","C002258114140000000","2002-03-20","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 덕포리 795-44","","","동남지질","2010-03-29 21:06:49","I","2023-06-13 00:00:00","","330950.233263017","409195.513154732","3","52295000","시추기     1 대
함마비트   1 대
포터       1 대","0",
"106","지하수시공업체","09_29_01_P","4271000","C006807251394532000","2009-11-10","","01","영업/정상","1","영업","","","","","","","","충청북도 충주시 주덕읍 신양리 179-2 1통2반 백남진달래아파트 609호","충청북도 충주시 주덕읍 장터뒷길 48, 609호 (백남진달래아파트)","","김대환","2009-11-10 20:56:18","I","2023-06-13 00:00:00","","271281.737534263","386239.90170795","1","0","","0",
"107","지하수시공업체","09_29_01_P","4271000","C001414130000831L00","2002-03-20","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 덕포리 795-44","","","동남지질합자회사","2004-06-24 16:35:08","I","2023-06-13 00:00:00","","330950.233263017","409195.513154732","0","0","","0",
"108","지하수시공업체","09_29_01_P","4271000","C001414110016098L00","2021-10-12","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 영월군 주천면 주천로 92-1","","(주)일구건설","2022-11-29 14:10:48","I","2023-06-13 00:00:00","","","","4","150000000","","0",
"109","지하수시공업체","09_29_01_P","4271000","C002250348787000000","2007-09-17","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 덕포리 672-3","","","전원지하수","2008-08-21 11:24:28","I","2023-06-13 00:00:00","","331172.785492089","408713.798542669","2","35350000","유압식 시추기(DR1000) : 1 대
롯드 114mm*7.6m       : 20 본","0",
"110","지하수시공업체","09_29_01_P","4271000","C002240367137000000","2020-05-18","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 주천면 신일리 78","강원특별자치도 영월군 주천면 금산길 22","26205","영서엔지니어링","2021-11-10 15:37:07","I","2023-06-13 00:00:00","","312493.54930217","418845.440781199","3","35000000","","0",
"111","지하수시공업체","09_29_01_P","4271000","C001746110014867L00","2008-09-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 905-5 2층","강원특별자치도 영월군 영월읍 중앙로 78-1 (2층)","","승화건설(주)","2010-09-03 13:37:18","I","2023-06-13 00:00:00","","330683.081619265","410065.875304641","2","610000000","크로라드릴(PCR 200) 1대","0",
"112","지하수시공업체","09_29_01_P","4271000","C006901072396527000","2011-06-14","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 주천면 금마리 238","강원특별자치도 영월군 주천면 금용강변로 163","","송옥선","2011-08-30 16:50:52","I","2023-06-13 00:00:00","","314062.644658511","416297.267428155","2","30165000","TBN 2000","0",
"113","지하수시공업체","09_29_01_P","4271000","C007005042328619000","2014-08-28","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 955-16","","","고인현","2016-02-23 17:16:27","I","2023-06-13 00:00:00","","330105.718896271","410325.352720753","2","33000000","","0",
"114","지하수시공업체","09_29_01_P","4271000","C001414110010115L00","2017-02-20","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 영월군 영월읍 중앙1로 48 (대일상가주택)","26233","(주)신풍","2017-02-20 10:35:28","I","2023-06-13 00:00:00","","330109.863688058","410293.663432335","2","400000000","- 건설기계명 : 천공기
- 등 록 번 호 : 충북22고1286호
- 형식 : AQUADRILLR-50
- 원동기 및 형식 : 180TI
- 차대번호 : SMVZRT2DGRC103233","0",
"115","지하수시공업체","09_29_01_P","4271000","C006702101466628000","2017-12-07","","01","영업/정상","1","영업","","","","","","","","충청남도 홍성군 금마면 가산리 108-2","충청남도 홍성군 금마면 봉수산로850번길 123-22","32280","동강모터펌프","2023-09-19 14:23:38","U","2023-09-21 02:40:00","","177718.882594314","347513.842569063","2","35000000","","0",
"116","지하수시공업체","09_29_01_P","4271000","C001101115499664L00","2023-03-22","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 영월군 영월읍 봉래산로 29-8, 2층","26227","에스에스씨산업(주)","2023-03-23 15:58:23","I","2023-06-13 00:00:00","","330616.722848303","410391.927286778","3","2500000000","천공기(경기22고5974) 
천공기(경기22고5993)
천공기(경기22고5975)
천공기(경기22고5994)","0",
"117","지하수시공업체","09_29_01_P","4271000","C001414110011014L00","2022-04-20","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 남면 북쌍리 6-2","강원특별자치도 영월군 남면 남애길 159-8","26215","서경개발주식회사","2022-04-20 09:53:55","I","2023-06-13 00:00:00","","326779.328518367","412635.775478117","2","50764008","천공기 KSW-2001 등록번호 강원22고5164
천공기 KSW-0014 등록번호 경기22고5352","0",
"118","지하수시공업체","09_29_01_P","4271000","C001614110029873L00","2013-10-07","","01","영업/정상","1","영업","","","","","","","","경기도 화성시 봉담읍 와우리 26-12","경기도 화성시 봉담읍 와우로73번길 6, 태천센타 312호","18321","승인지반기술주식회사","2024-10-16 17:49:36","U","2024-10-18 02:40:00","","197627.089137563","412461.269426304","15","200000000","천공기(HD450)","0",
"119","지하수시공업체","09_29_01_P","4281000","C001450110025001L00","2023-07-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 중리 293-9","강원특별자치도 평창군 평창읍 노성로 196","","(주)아셀이엔씨","2024-05-27 11:13:11","U","2024-05-29 02:40:00","","324043.2298484","430515.000064949","2","100000000","시추기1대(임대)","0",
"120","지하수시공업체","09_29_01_P","4281000","C008941001363000000","2020-02-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 방림면 방림리 762-1","강원특별자치도 평창군 방림면 평창대로 264-3","25365","석수지하수","2023-02-24 15:38:55","I","2023-06-13 00:00:00","","325500.166091577","437555.877839559","3","105166496","","0",
"121","지하수시공업체","09_29_01_P","4281000","C001450110004724L00","2011-11-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 하리 266-1","강원특별자치도 평창군 평창읍 군청길 32","","(주)대신이앤지","2020-03-12 13:38:23","I","2023-06-13 00:00:00","","323070.0232689","430414.050296217","2","50000000","","0",
"122","지하수시공업체","09_29_01_P","4281000","C002241603093000000","2012-06-14","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 대화면 1707","강원특별자치도 평창군 대화면 평창대로 970","","금강지하수개발","2017-04-17 13:53:41","I","2023-06-13 00:00:00","","","","2","30600000","PL6000L","0",
"123","지하수시공업체","09_29_01_P","4281000","C001251942179000000","2014-01-23","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 272-7","강원특별자치도 평창군 평창읍 군청길 44","","금강개발","2023-03-10 09:54:23","I","2023-06-13 00:00:00","","","","2","31840000","천공기(SH-5000B)자가보유","0",
"124","지하수시공업체","09_29_01_P","4281000","C002910800150000000","2015-10-28","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 995","강원특별자치도 평창군 평창읍 제방길 69","25377","가람수자원","2018-04-16 13:15:48","I","2023-06-13 00:00:00","","322454.10236081","429742.028590011","2","30000000","공기압축기 1대 (XHP1070WCAT, 30.3㎥/min)
천공기 1대(HS-0120, 250mm)","0",
"125","지하수시공업체","09_29_01_P","4281000","C001450110016977L00","2015-12-23","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 진부면 송정리 2520-10 4통3반","강원특별자치도 평창군 진부면 송정택지2길 39-18","","(주)티에이치지하수","2025-02-04 15:08:28","U","2025-02-06 02:40:00","","337797.47221224","460224.810157064","2","50000000","임대 천공기(등록번호: 강원22고5211)","0",
"126","지하수시공업체","09_29_01_P","4281000","C001095350399000000","2016-03-02","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 대화면 381-2","강원특별자치도 평창군 대화면 웃대화2길 32-10","","금강지하수개발","2023-04-03 20:00:46","I","2023-06-13 00:00:00","","","","2","59500000","천공기(KKJHS-2073) 1대-자가","0",
"127","지하수시공업체","09_29_01_P","4281000","C007802262395217000","2022-02-22","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 평창군 평창읍 천동1길 150","25373","바른개발","2022-02-22 15:26:51","I","2023-06-13 00:00:00","","323290.778514177","426613.815071802","2","35300000","천공기(강원22고5191)임대(2022.2.1.~2024.1.31.)","0",
"128","지하수시공업체","09_29_01_P","4281000","C001450110004542L00","2018-03-09","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 하리 227-4 대동월드","","","(주)청솔환경엔지니어링","2020-11-05 10:04:23","I","2023-06-13 00:00:00","","323114.099050192","430627.149707713","2","50000000","천공기 1대 임대
 - 등록번호 : 천공기(충북22고1311)
 - 규격 : 400mm
 - 소유자 : 의림환경에너지텍(주)","0",
"129","지하수시공업체","09_29_01_P","4281000","C007308281268310000","2022-02-22","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 평창군 방림면 고원로 703, 2동 2층","25364","성우엔지니어링","2022-02-22 15:37:15","I","2023-06-13 00:00:00","","315252.852675568","439644.714596176","2","35200000","천공기(강원22고1343)서원엔지니어링=성우엔지니어링 소유(사업자등록번호224-15-65559같음)","0",
"130","지하수시공업체","09_29_01_P","4281000","C006304051268229000","2019-01-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 명륜동 417 12통1반","","","윤재광","2024-02-06 14:11:08","U","2024-02-08 02:40:00","","283546.753709363","426239.749684492","2","35000000","건설기계명:천공기
등록번호:강원22고5122
형식:P6000L
차대일련번호:DNB P6000LKR14091317","0",
"131","지하수시공업체","09_29_01_P","4281000","C001101110797485L00","2000-07-05","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 용평면 장평리 375-22","강원특별자치도 평창군 용평면 경강로 1686","25315","(주)한일테크","2022-01-28 16:24:35","I","2023-06-13 00:00:00","","325031.587847247","454941.891739971","2","5000000","","0",
"132","지하수시공업체","09_29_01_P","4281000","C002250273348000000","2004-03-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 조동리 267","강원특별자치도 평창군 평창읍 고길천3길 128-15","","미래개발","2023-03-13 20:53:13","I","2023-06-13 00:00:00","","327973.268083186","433630.318321157","2","45754500","천공기(강원22고5162, 강원22고5163, 강원22고5198, 강원22고5199, 강원22고5246)자가","0",
"133","지하수시공업체","09_29_01_P","4281000","C002240230540000000","2004-07-15","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 용평면 재산리 1285-2","강원특별자치도 평창군 용평면 평창대로 1681","","금강에코너지","2011-12-07 19:22:45","I","2023-06-13 00:00:00","","326763.65822841","451943.023392206","2","36245000","시추기
  - D.H.D600 타주식
  - MY-T4 3000 자주식콤바인형","0",
"134","지하수시공업체","09_29_01_P","4281000","C002261007564000000","2007-04-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 용항리 92-2","강원특별자치도 평창군 평창읍 용항상촌길 186","25369","강원지하수개발","2018-03-22 14:54:50","I","2023-06-13 00:00:00","","323020.283943425","434198.306502752","2","82100000","","0",
"135","지하수시공업체","09_29_01_P","4281000","C001846110015433L00","2013-09-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 진부면 송정리 2508-1","강원특별자치도 평창군 진부면 송정택지1길 34","","(주)동하에코","2013-09-30 16:17:03","I","2023-06-13 00:00:00","","337888.827386096","460547.300318066","2","202000000","","0",
"136","지하수시공업체","09_29_01_P","4281000","C001412110033814L00","2006-06-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 대관령면 횡계리 374 , 2층","강원특별자치도 평창군 대관령면 올림픽로 30, 2층","25347","(주)한국대체에너지","2021-12-21 16:44:00","I","2023-06-13 00:00:00","","349904.524479957","465114.829107987","4","200000000","","1",
"137","지하수시공업체","09_29_01_P","4281000","C001412130005140L00","1999-03-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 평창읍 천변리 37-2","강원특별자치도 평창군 평창읍 천변길 6","25376","합자회사 성일","2020-11-05 09:57:56","I","2023-06-13 00:00:00","","323579.168600513","430271.814642636","3","600000000","시추기 1대 (미니T-4)","0",
"138","지하수시공업체","09_29_01_P","4281000","C002893600937000000","2022-11-28","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 평창군 평창읍 상촌1길 3","","성지 개발","2024-06-29 14:11:50","U","2024-07-01 02:40:00","","","","2","30000000","천공기(강원22고5191) 1대 - 임대","0",
"139","지하수시공업체","09_29_01_P","4281000","C001411110039541L00","2021-02-22","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 진부면 하진부리 164-2","강원특별자치도 평창군 진부면 청송로 64","","진부건설(주)","2023-04-03 19:53:36","I","2023-06-13 00:00:00","","337054.176232949","460447.458313687","2","300000000","천공기(KJH-0969, 전북22바5180) 1대- 임대
    공기압축기(대전-21다6731, 전북21바5069) 1대-임대","0",
"140","지하수시공업체","09_29_01_P","4281000","C00711028000","2017-06-29","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 평창군 방림면 평창대로 272","25365","한국지하수기술공사","2025-04-07 15:34:20","I","2025-04-09 00:10:32","","","","2","30000000","","0",
"141","지하수시공업체","09_29_01_P","4281000","C001313110251672L00","2021-03-19","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 평창군 용평면 금송길 15-19","25315","(주)선우워터","2023-10-26 10:49:30","I","2023-10-28 00:17:47","","324740.361447581","454524.234453064","2","50000000","시추기(JY600)","0",
"142","지하수시공업체","09_29_01_P","4281000","C001412110143233L00","2023-11-21","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 용평면 재산리 1400","강원특별자치도 평창군 용평면 평창대로 1778","25317","(주)삼성에너지","2025-04-01 14:09:56","U","2025-04-03 02:40:00","","326271.017334348","452740.701329333","2","50000000","천공기, 형식(P600L) 강원22고5129, 강원22고5122,
공기압축기, 형식(Y35)강원21고5085, 강원21고5084","0",
"143","지하수시공업체","09_29_01_P","4291000","C006763300862000000","2021-12-03","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 정선군 정선읍 용담길 68","26132","영남지하수","2024-03-14 11:04:02","U","2024-03-16 02:40:00","","345918.076710294","431900.743339202","2","30000000","천공기/강원22고1237/JCB-1059","0",
"144","지하수시공업체","09_29_01_P","4291000","C001412110001423L00","2014-10-29","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 정선군 정선읍 봉양리 301-6","강원특별자치도 정선군 정선읍 비봉안길 41","26129","주식회사 동서개발","2021-03-30 11:33:10","I","2023-06-13 00:00:00","","346955.272540141","432420.008516388","2","400000000","","0",
"145","지하수시공업체","09_29_01_P","4291000","C001449130001703L00","2024-11-04","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 정선군 정선읍 봉양리 209-5","강원특별자치도 정선군 정선읍 정선로 1322","26131","정선지하수개발(합)","2024-11-04 16:19:46","U","2024-11-06 02:40:00","","347075.283031783","432091.237185185","2","50000000","","0",
"146","지하수시공업체","09_29_01_P","4291000","C002141140001421L00","2005-06-27","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 정선군 북평면 옥산소길 8-3","","유)태응개발","2023-02-21 11:44:47","I","2023-06-13 00:00:00","","","","0","0","","0",
"147","지하수시공업체","09_29_01_P","4291000","C006008251345515000","2009-02-19","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 정선군 정선읍 북실리 703-8","강원특별자치도 정선군 정선읍 정선로 1232","","대신개발","2014-08-21 18:02:54","I","2023-06-13 00:00:00","","346174.36188132","432043.11183226","2","93750000","","0",
"148","지하수시공업체","09_29_01_P","4291000","C007210301333215000","2009-03-18","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 정선군 여량면 여량리 산 147 3통4반","","","중앙지하수개발","2017-12-04 18:41:34","I","2023-06-13 00:00:00","","351545.648097714","441599.599248818","2","92260000","소형 착정기 T-4","0",
