"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"166","환경전문공사업","09_30_16_P","6530000","642000009200700047","2010-07-09","","03","폐업","Q","폐업","2012-07-11","","","","","","","강원특별자치도 원주시 단계동  1101번지 9호 30통 3반","","","태일환경(주)","2022-01-18 17:06:01","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"167","환경전문공사업","09_30_16_P","6530000","642000009200700049","2009-01-09","","03","폐업","Q","폐업","2022-01-23","","","","","","","충청북도 청주시흥덕구 개신동  438번지 77호 6통 3반","","","반야건설(주)","2022-01-23 13:51:42","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"168","환경전문공사업","09_30_16_P","6530000","642000009200700050","2007-12-27","","03","폐업","Q","폐업","","","","","","","200-852","강원특별자치도 춘천시 동면 만천리  604번지 1호 2층","강원특별자치도 춘천시 동면 만천로 57 (2층)","","웅비건설(주)","2022-01-13 16:15:37","I","2023-06-13 00:00:00","","267407.01811917","486504.534424015","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"169","환경전문공사업","09_30_16_P","6530000","642000009201800008","2018-07-16","","03","폐업","Q","폐업","","","","","","","26462","강원특별자치도 원주시 반곡동 1897-4 코아루시티 202호","강원특별자치도 원주시 양지로 58, 코아루시티 202호 (반곡동)","26462","(주)지텍이앤씨","2022-01-13 16:06:56","I","2023-06-13 00:00:00","","287204.787804644","425408.708646717","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"170","환경전문공사업","09_30_16_P","6530000","642000009201900001","2019-12-17","","03","폐업","Q","폐업","2020-02-20","","","","","","25922","강원특별자치도 삼척시 남양동 7-14 드라마미용실","강원특별자치도 삼척시 척주로 65, 드라마미용실 (남양동)","25922","(주)한국환경엔지니어링","2020-02-20 12:14:01","I","2023-06-13 00:00:00","","392074.203412676","440243.730407057","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"171","환경전문공사업","09_30_16_P","6530000","642000009201900003","2019-12-30","","03","폐업","Q","폐업","2020-01-28","","","","","","","강원특별자치도 정선군 고한읍 고한리 373번지","강원특별자치도 정선군 고한읍 고한로 309","","나라환경개발㈜","2022-01-17 14:41:58","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"172","환경전문공사업","09_30_16_P","6530000","642000009201900010","2021-01-08","","03","폐업","Q","폐업","2021-01-29","","","","","","24465","강원특별자치도 춘천시 남산면 수동리 639번지","강원특별자치도 춘천시 남산면 추곡고개2길 26","24465","(주)엔이씨파워","2021-02-15 09:26:46","I","2023-06-13 00:00:00","","256891.691951758","473472.839513697","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"173","환경전문공사업","09_30_16_P","6530000","642000009202000001","2020-03-03","","03","폐업","Q","폐업","2020-04-30","","","","","","25781","강원특별자치도 동해시 천곡동 91-22","강원특별자치도 동해시 감추7길 22 (천곡동)","25781","(주)윤호","2020-04-29 15:31:03","I","2023-06-13 00:00:00","","387403.377471277","447880.462338016","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"174","환경전문공사업","09_30_16_P","6530000","642000009202000002","2020-08-18","","03","폐업","Q","폐업","2021-05-26","","","","","","","강원특별자치도 삼척시 근덕면 동막리 790-1 원웅산업","강원특별자치도 삼척시 근덕면 본동길 21-186, 원웅산업","","원웅산업(주)","2021-07-01 15:48:22","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"175","환경전문공사업","09_30_16_P","6530000","642000009201100009","2012-07-16","","03","폐업","Q","폐업","2013-02-12","","","","","","250-885","강원특별자치도 홍천군 북방면 상화계리  92번지 [92-1번지]","강원특별자치도 홍천군 북방면 영서로 2702","250-885","(주)홍천그린환경","2022-01-17 14:38:38","I","2023-06-13 00:00:00","","275118.281402035","467366.360734832","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"176","환경전문공사업","09_30_16_P","6530000","642000009201100010","2011-08-25","","03","폐업","Q","폐업","","","","","","","","강원특별자치도 영월군 영월읍 하송리 247번지 1호 5통 8반 태광주택 B동 201호","","","동강환경(주)","2022-01-13 16:15:11","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"177","환경전문공사업","09_30_16_P","6530000","642000009201100011","2012-12-11","","03","폐업","Q","폐업","2014-08-08","","","","","","200-933","강원특별자치도 춘천시 석사동   114번지 2호","강원특별자치도 춘천시 공지로 57-11 (석사동)","200-933","(주)거산종합건설","2022-01-17 14:36:11","I","2023-06-13 00:00:00","","266027.910955951","483485.142338829","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"178","환경전문공사업","09_30_16_P","6530000","642000009201100012","2013-06-05","","03","폐업","Q","폐업","","","","","","","225-806","강원특별자치도 횡성군 횡성읍 조곡리  355번지 1호 [355-1번지]","강원특별자치도 횡성군 횡성읍 한우로 588 ([355-1번지])","225-806","(주)삼성환경이엔지","2022-01-13 15:58:24","I","2023-06-13 00:00:00","","289845.351895997","443768.825458786","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"179","환경전문공사업","09_30_16_P","6530000","642000009201200001","2014-08-06","","03","폐업","Q","폐업","2014-09-29","","","","","","217-810","강원특별자치도 속초시 동명동   466번지 42호 [466-42번지]","강원특별자치도 속초시 중앙로 190, 712호 (동명동,설악센트리움)","217-809","(주)정엔지니어링","2014-09-30 08:30:16","I","2023-06-13 00:00:00","","339470.15928513","523908.757554044","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"180","환경전문공사업","09_30_16_P","6530000","642000009201200002","2012-11-15","","03","폐업","Q","폐업","2013-09-03","","","","","","200-915","강원특별자치도 춘천시 남산면 수동리  639번지","강원특별자치도 춘천시 남산면 추곡고개2길 26","200-915","(주)태종엔이씨","2022-01-17 14:30:43","I","2023-06-13 00:00:00","","256891.691951758","473472.839513697","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"181","환경전문공사업","09_30_16_P","6530000","642000009201200003","2012-12-08","","03","폐업","Q","폐업","","","","","","","","","강원특별자치도 원주시 판부면 오성마을길 63-7","","(주)영동환경이앤텍","2022-01-13 16:00:34","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"182","환경전문공사업","09_30_16_P","6530000","642000009201300001","2013-09-02","","03","폐업","Q","폐업","2014-11-03","","","","","","","강원특별자치도 원주시 행구동 530번지 8호","강원특별자치도 원주시 아랫거름터길 28 (행구동)","","(자)동해ENG","2022-01-17 14:31:09","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"183","환경전문공사업","09_30_16_P","6530000","642000009201300002","2013-10-02","","03","폐업","Q","폐업","2014-08-13","","","","","","245-834","강원특별자치도 삼척시 근덕면 동막리  790번지 1호","강원특별자치도 삼척시 근덕면 본동길 21-186","245-839","원웅산업(주)","2014-08-13 16:09:12","I","2023-06-13 00:00:00","","397676.516497085","428354.636819589","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"184","환경전문공사업","09_30_16_P","6530000","642000009201300004","2014-08-08","","03","폐업","Q","폐업","","","","","","","","강원특별자치도 철원군 철원읍 화지리 28번지 100호 2통 4반","강원특별자치도 철원군 철원읍 금학로 264","","(주)오존크린웍스엔지니어링","2022-01-13 16:01:45","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"185","환경전문공사업","09_30_16_P","6530000","642000009201400001","2014-06-23","","03","폐업","Q","폐업","2022-01-23","","","","","","","","강원특별자치도 원주시 호저면 원문로 525-4","220-924","폐업 임시 지정 - 태영환경이앤씨(주)","2022-01-23 13:56:22","I","2023-06-13 00:00:00","","280049.629201072","428961.553750799","0","환경전문공사업","0","","","","","","","","","","","","51130","5113032000","0","3219041","","0","525","4","220924",
"186","환경전문공사업","09_30_16_P","6530000","642000009201400002","2014-04-03","","03","폐업","Q","폐업","2014-06-10","","","","","","","","강원특별자치도 강릉시 용지로 137 (옥천동)","210-933","태백건설산업(주)","2022-01-17 14:40:02","I","2023-06-13 00:00:00","","367596.340278321","474865.02810159","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"187","환경전문공사업","09_30_16_P","6530000","642000009201400003","2014-09-03","","03","폐업","Q","폐업","","","","","","","","","강원특별자치도 원주시 원문로 341, 3층 (단계동)","220-937","(주)삼성환경엔지니어링","2022-01-13 15:58:13","I","2023-06-13 00:00:00","","281301.294422979","429027.208388737","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"188","환경전문공사업","09_30_16_P","6530000","642000009201400004","2016-10-31","","03","폐업","Q","폐업","","","","","","","220-935","강원특별자치도 원주시 단계동   43-1","","","(주)정우환경산업","2022-01-13 16:04:10","I","2023-06-13 00:00:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"189","환경전문공사업","09_30_16_P","6530000","642000009201400005","2014-10-10","","03","폐업","Q","폐업","","","","","","","","","강원특별자치도 원주시 태장공단길 37 (태장동)","220-962","(주)엘에스지","2022-01-13 16:00:14","I","2023-06-13 00:00:00","","283823.063195979","433836.573354228","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
