"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"83","박물관, 미술관","03_07_05_P","6530000","B04012008000012","2008-12-08","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 무릉도원면 무릉리 1090번지 6호","강원특별자치도 영월군 무릉도원면 무릉법흥로 303","","호야지리박물관","2023-08-16 14:51:32","U","2024-10-11 02:40:00","","311889.081793993","422743.626406582","박물관","","20081210","사립","1종","전문박물관","","","0","","","","","",
"84","박물관, 미술관","03_07_05_P","6530000","B04012009000001","2007-12-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 인제군 북면 용대리 1136번지 5호","강원특별자치도 인제군 북면 만해로 91","","만해문학박물관","2024-08-25 20:10:46","U","2024-10-11 02:40:00","","315267.571773326","521205.622486633","박물관","","20090706","사립","1종","전문박물관","","","0","","","","","",
"85","박물관, 미술관","03_07_05_P","6530000","B04012009000008","2009-12-23","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 주천면 판운리 203번지 19호","강원특별자치도 영월군 주천면 평창강로 139","","영월화석박물관","2023-08-16 14:43:38","U","2024-10-11 02:40:00","","318820.882961738","422066.671765783","박물관","","20081208","사립","1종","전문박물관","","","0","","","","","",
"86","박물관, 미술관","03_07_05_P","6530000","B04012010000001","2004-08-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 서면 현암리 367번지","강원특별자치도 춘천시 서면 박사로 854","","애니메이션박물관","2019-03-14 14:34:44","U","2024-10-11 02:40:00","","","","박물관","20031009","20100709","공립","1종","전문박물관","","","0","0","","","","",
"87","박물관, 미술관","03_07_05_P","6530000","B04012010000002","2010-07-28","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 남산면 방하리 198번지","강원특별자치도 춘천시 남산면 남이섬길 1","","LIUSEUM 세계민족악기전시관","2024-11-28 18:04:29","U","2024-11-30 02:40:00","","246222.531678854","476683.992337235","박물관","","20100331","사립","1종","전문박물관","","","0","","","","","",
"88","박물관, 미술관","03_07_05_P","6530000","B04012010000003","2010-12-07","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 동점동 295번지","강원특별자치도 태백시 태백로 2249 (동점동)","","태백고생대자연사박물관","2019-03-14 16:52:20","U","2024-10-11 02:40:00","","381265.138656252","401164.283857642","박물관","","20101027","공립","1종","전문박물관","","","0","","","","","",
"89","박물관, 미술관","03_07_05_P","6530000","B04012013000021","2013-06-11","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 견소동 269번지 0호 0 0동","강원특별자치도 강릉시 해안로 10-0, 1층 (견소동,FantapiaM)","","환희컵박물관","2020-12-28 15:34:53","U","2024-10-11 02:40:00","","371136.848657245","476421.5435402","박물관","","20130408","사립","1종","전문박물관","","","0","","","","","",
"90","박물관, 미술관","03_07_05_P","6530000","B04012013000022","2013-07-18","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 김삿갓면 예밀리 8번지 1호","강원특별자치도 영월군 김삿갓면 망경대산길 135-3","","만봉불화박물관","2023-08-16 15:00:29","U","2024-10-11 02:40:00","","342827.633835588","407119.15966343","박물관","","20130528","사립","1종","전문박물관","","","0","","","","","",
"91","박물관, 미술관","03_07_05_P","6530000","B04012013000024","2013-07-24","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 인제군 북면 용대리 1119번지 12호","강원특별자치도 인제군 북면 만해로 154","","여초서예관","2019-03-14 17:55:59","U","2024-10-11 02:40:00","","315528.637214121","521528.671877037","박물관","","20130605","공립","1종","전문박물관","","","0","","","","","",
"92","박물관, 미술관","03_07_05_P","6530000","B04012013000025","2013-08-05","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 북면 문곡리 604번지 4호","강원특별자치도 영월군 북면 영월로 1229","","영월곤충박물관","2023-08-16 14:59:02","U","2024-10-11 02:40:00","","326230.836111204","413090.607829294","박물관","","20020505","사립","1종","전문박물관","","","0","","","","","",
